node_id,x,y
677001,22.2,105.5833
677002,22.2,105.6167
677003,22.2,105.65
677004,22.2,105.75
677005,22.2,105.8667
677006,22.2,105.8833
677007,22.2,105.9167
677008,22.2,105.9667
677009,22.2,106.1
677010,22.2,106.1333
677011,22.2,106.15
677012,22.2,106.2333
677013,22.2,106.3167
677014,22.2,106.3667
677015,22.2,106.3833
677016,22.2,106.4
677017,22.2,106.4833
677018,22.2,106.5167
677019,22.2,106.5667
677020,22.2,106.5833
677021,22.2,106.6
677022,22.2,106.65
677023,22.2,106.6667
677024,22.2,106.6833
677025,22.2,107.0439
677026,22.2,111.1167
677027,22.2,113.5333
677028,22.2,113.55
677029,22.2,114.0167
677030,22.2,114.0333
677031,22.2,114.1167
677032,22.2,114.1333
677033,22.2,114.15
677034,22.2,120.7333
677035,22.2,120.7667
677036,22.2,120.8667
677037,22.2,69.65
677038,22.2,69.9667
677039,22.2,70.8667
677040,22.2,71.3667
677041,22.2,72.6333
677042,22.2,74.0333
677043,22.2,-74.25
677044,22.2,74.75
677045,22.2,77.9
677046,22.2,78.5833
677047,22.2,78.6833
677048,22.2,-78.7333
677049,22.2,78.7667
677050,22.2,-78.9
677051,22.2,78.9333
677052,22.2,-79.0
677053,22.2,79.05
677054,22.2,-79.3833
677055,22.2,-79.4167
677056,22.2,-79.55
677057,22.2,-79.6167
677058,22.2,-79.75
677059,22.2,-79.8667
677060,22.2,-79.9167
677061,22.2,-80.0833
677062,22.2,-80.15
677063,22.2,-80.2667
677064,22.2,-80.3167
677065,22.2,-80.35
677066,22.2,-80.45
677067,22.2,80.55
677068,22.2,-80.7833
677069,22.2,80.9333
677070,22.2,81.3333
677071,22.2,82.0333
677072,22.2,82.7667
677073,22.2,-83.65
677074,22.2,-83.8833
677075,22.2,-83.9167
677076,22.2,-84.1667
677077,22.2,-84.2167
677078,22.2,-84.3167
677079,22.2,-84.3667
677080,22.2,84.6
677081,22.2,84.8833
677082,22.2,85.3833
677083,22.2,88.05
677084,22.2,89.0833
677085,22.2,89.9333
677086,22.2,90.0667
677087,22.2,90.1833
677088,22.2,90.2167
677089,22.2,90.2833
677090,22.2,90.35
677091,22.2,90.45
677092,22.2,90.4833
677093,22.2,91.1333
677094,22.2,92.0167
677095,22.2,92.0833
677096,22.2,92.1167
677097,22.2,92.2167
677098,22.2,94.0833
677099,22.2,94.1333
677100,22.2,94.7833
677101,22.2,94.9
677102,22.2,95.0167
677103,22.2,95.0333
677104,22.2,95.0833
677105,22.2,95.1
677106,22.2,95.15
677107,22.2,95.2667
677108,22.2,95.3167
677109,22.2,95.3333
677110,22.2,95.45
677111,22.2,95.4667
677112,22.2,95.4833
677113,22.2,95.5
677114,22.2,95.6
677115,22.2,95.6167
677116,22.2,95.65
677117,22.2,95.6833
677118,22.2,95.7167
677119,22.2,95.8333
677120,22.2,95.9
677121,22.2,95.9333
677122,22.2,95.9667
677123,22.2,96.0333
677124,22.2,96.05
677125,22.2,96.1
677126,22.2,96.1833
677127,22.2,96.2
677128,22.2,96.2167
677129,22.2,96.2333
677130,22.2,96.3
677131,22.2,96.4667
677132,22.2,96.5333
677133,22.2,96.55
677134,22.2,96.6
677135,22.2,96.6833
677136,22.2,96.7667
677137,22.2,96.7833
677138,22.2,96.85
677139,22.2,96.9833
677140,22.2,97.0167
677141,22.2,97.0667
677142,22.2,97.1167
677143,22.2,97.2333
677144,22.2,97.2667
677145,22.2,97.2833
677146,22.2,97.3167
677147,22.2,97.35
677148,22.2,97.3667
677149,22.2,97.4833
677150,22.2,97.6
677151,22.2,97.8
677152,22.2,97.8167
677153,22.2,97.8667
677154,22.2,-97.8667
677155,22.2,97.8833
677156,22.2,97.95
677157,22.2,98.0
677158,22.2,-98.0333
677159,22.2,98.05
677160,22.2,98.1
677161,22.2,98.1167
677162,22.2,98.1833
677163,22.2,98.2667
677164,22.2,98.3
677165,22.2,98.3667
677166,22.2,98.45
677167,22.2,98.4667
677168,22.2,-98.5667
677169,22.2,98.6833
677170,22.2,98.75
677171,22.2,98.8167
677172,22.2,98.8833
677173,22.2,-98.8833
677174,22.2,98.95
677175,22.2,-98.9667
677176,22.2,-99.05
677177,22.2,-99.0667
677178,22.2,-99.3167
677179,22.2,-99.4667
677180,22.2,-99.4833
677181,22.2,-99.5
677182,22.2,-99.5333
677183,22.2,-99.6667
677184,22.2,-99.8
677185,22.2003,112.0839
677186,22.2003,88.7056
677187,22.2006,88.0358
677188,22.2008,-80.6753
677189,22.2008,-80.7719
677190,22.2011,111.8669
677191,22.2014,113.0869
677192,22.2014,-80.7456
677193,22.2014,88.6481
677194,22.2017,109.3197
677195,22.2017,112.8464
677196,22.2019,-79.31
677197,22.2022,88.2581
677198,22.2025,-78.8361
677199,22.2025,-84.0875
677200,22.2033,120.8536
