node_id,x,y
1730401,54.0894,-7.7981
1730402,54.0894,-8.0944
1730403,54.0897,35.0722
1730404,54.0897,36.9092
1730405,54.0897,-7.6192
1730406,54.0897,-7.8333
1730407,54.09,37.3519
1730408,54.09,39.8619
1730409,54.09,43.8169
1730410,54.0903,32.8803
1730411,54.0903,34.6889
1730412,54.0903,-6.7611
1730413,54.0906,33.3392
1730414,54.0908,31.3561
1730415,54.0908,-7.7108
1730416,54.0908,-8.9342
1730417,54.0908,-9.2364
1730418,54.0911,-7.435
1730419,54.0911,-8.7211
1730420,54.0911,-8.92
1730421,54.0914,101.6969
1730422,54.0914,34.5431
1730423,54.0914,36.8131
1730424,54.0914,-7.4228
1730425,54.0914,-8.3528
1730426,54.0914,-9.3631
1730427,54.0917,30.3017
1730428,54.0917,33.1306
1730429,54.0917,-7.7322
1730430,54.0917,-8.2089
1730431,54.0917,84.7667
1730432,54.0919,106.1353
1730433,54.0919,38.9208
1730434,54.0919,66.5381
1730435,54.0919,-9.0386
1730436,54.0922,33.2897
1730437,54.0922,33.4369
1730438,54.0922,39.7217
1730439,54.0922,63.6814
1730440,54.0925,31.9114
1730441,54.0925,37.1117
1730442,54.0925,38.5464
1730443,54.0925,-8.6747
1730444,54.0925,-8.7644
1730445,54.0928,31.0494
1730446,54.0928,-7.5375
1730447,54.0928,-8.3083
1730448,54.0928,92.4503
1730449,54.0931,-112.7867
1730450,54.0931,34.7506
1730451,54.0931,-6.96
1730452,54.0933,-112.6186
1730453,54.0933,-7.6361
1730454,54.0933,76.735
1730455,54.0936,101.4086
1730456,54.0936,33.8219
1730457,54.0936,37.8183
1730458,54.0936,40.2422
1730459,54.0939,31.4778
1730460,54.0939,64.78
1730461,54.0939,-9.3778
1730462,54.0942,33.6653
1730463,54.0942,35.6725
1730464,54.0942,35.7128
1730465,54.0942,70.7964
1730466,54.0942,-7.7075
1730467,54.0942,-9.2067
1730468,54.0944,93.2819
1730469,54.0947,39.0339
1730470,54.095,-0.2081
1730471,54.095,32.5442
1730472,54.095,34.8308
1730473,54.095,-7.8769
1730474,54.0953,40.6081
1730475,54.0956,37.7578
1730476,54.0956,-6.9117
1730477,54.0956,-7.2197
1730478,54.0958,-10.1
1730479,54.0958,33.7636
1730480,54.0958,39.9694
1730481,54.0958,79.4347
1730482,54.0961,37.9917
1730483,54.0961,38.4039
1730484,54.0961,63.075
1730485,54.0961,-6.7861
1730486,54.0964,32.0436
1730487,54.0964,33.8539
1730488,54.0967,38.6217
1730489,54.0967,-9.7656
1730490,54.0969,31.8547
1730491,54.0969,35.1525
1730492,54.0972,34.2631
1730493,54.0975,-7.7819
1730494,54.0978,35.3397
1730495,54.0978,37.7069
1730496,54.0978,-9.2256
1730497,54.0981,30.4269
1730498,54.0981,36.2436
1730499,54.0981,36.2897
1730500,54.0981,36.5497
1730501,54.0981,39.3097
1730502,54.0981,64.4583
1730503,54.0981,-7.2522
1730504,54.0983,28.3325
1730505,54.0983,30.5633
1730506,54.0986,-7.2906
1730507,54.0986,-8.5497
1730508,54.0989,31.2394
1730509,54.0989,32.1233
1730510,54.0989,83.0631
1730511,54.0989,-9.2522
1730512,54.0992,39.6281
1730513,54.0994,101.4203
1730514,54.0994,37.0236
1730515,54.0994,41.8519
1730516,54.0994,68.9025
1730517,54.0994,-7.365
1730518,54.0994,-8.575
1730519,54.0997,30.2733
1730520,54.1,-0.1167
1730521,54.1,-0.3833
1730522,54.1,-0.55
1730523,54.1,-0.5667
1730524,54.1,-0.85
1730525,54.1,10.0
1730526,54.1,10.0333
1730527,54.1,10.0833
1730528,54.1,10.1
1730529,54.1,10.1167
1730530,54.1,10.1333
1730531,54.1,10.1833
1730532,54.1,10.2167
1730533,54.1,102.6
1730534,54.1,10.2667
1730535,54.1,-102.8167
1730536,54.1,10.2833
1730537,54.1,10.3
1730538,54.1,103.0333
1730539,54.1,10.35
1730540,54.1,103.6833
1730541,54.1,10.3833
1730542,54.1,10.4
1730543,54.1,10.45
1730544,54.1,10.4667
1730545,54.1,104.7333
1730546,54.1,10.4833
1730547,54.1,10.55
1730548,54.1,105.5333
1730549,54.1,10.6167
1730550,54.1,-1.0667
1730551,54.1,10.6833
1730552,54.1,10.7667
1730553,54.1,10.8167
1730554,54.1,10.8833
1730555,54.1,110.4333
1730556,54.1,111.65
1730557,54.1,-1.1167
1730558,54.1,11.5833
1730559,54.1,11.6167
1730560,54.1,11.6333
1730561,54.1,11.65
1730562,54.1,11.6833
1730563,54.1,11.7
1730564,54.1,11.7333
1730565,54.1,11.7667
1730566,54.1,117.8
1730567,54.1,11.7833
1730568,54.1,11.8333
1730569,54.1,11.85
1730570,54.1,11.9
1730571,54.1,119.35
1730572,54.1,11.9667
1730573,54.1,12.0167
1730574,54.1,12.0667
1730575,54.1,12.0833
1730576,54.1,12.1
1730577,54.1,121.5167
1730578,54.1,12.2
1730579,54.1,12.2167
1730580,54.1,12.25
1730581,54.1,122.5833
1730582,54.1,12.2833
1730583,54.1,12.3
1730584,54.1,-123.0167
1730585,54.1,12.3167
1730586,54.1,12.3333
1730587,54.1,12.35
1730588,54.1,123.5167
1730589,54.1,123.5667
1730590,54.1,12.4
1730591,54.1,12.4167
1730592,54.1,12.4333
1730593,54.1,-125.1667
1730594,54.1,12.5167
1730595,54.1,12.55
1730596,54.1,-125.7167
1730597,54.1,12.6
1730598,54.1,-1.2667
1730599,54.1,12.7667
1730600,54.1,12.8
