node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
12.0,8.0,40.0,40.0,225.0,285.0,10.0
14.0,5.0,35.0,10.0,683.0,743.0,10.0
16.0,2.0,40.0,20.0,204.0,264.0,10.0
17.0,0.0,40.0,20.0,204.0,425.0,10.0
18.0,0.0,45.0,20.0,698.0,827.0,10.0
19.0,44.0,5.0,20.0,306.0,483.0,10.0
20.0,42.0,10.0,40.0,199.0,428.0,10.0
21.0,42.0,15.0,10.0,494.0,699.0,10.0
22.0,40.0,5.0,10.0,45.0,525.0,10.0
23.0,40.0,15.0,40.0,383.0,486.0,10.0
24.0,38.0,5.0,30.0,231.0,291.0,10.0
46.0,20.0,82.0,10.0,37.0,177.0,10.0
50.0,42.0,12.0,10.0,460.0,539.0,10.0
52.0,55.0,20.0,19.0,273.0,498.0,10.0
57.0,50.0,35.0,19.0,560.0,673.0,10.0
58.0,30.0,25.0,23.0,342.0,571.0,10.0
60.0,10.0,20.0,19.0,42.0,522.0,10.0
61.0,15.0,60.0,17.0,623.0,884.0,10.0
67.0,41.0,37.0,16.0,570.0,681.0,10.0
71.0,35.0,69.0,23.0,780.0,930.0,10.0
75.0,20.0,20.0,8.0,675.0,735.0,10.0
76.0,5.0,5.0,16.0,57.0,537.0,10.0
77.0,60.0,12.0,31.0,298.0,358.0,10.0
85.0,57.0,29.0,18.0,425.0,485.0,10.0
96.0,56.0,37.0,6.0,20.0,500.0,10.0
98.0,4.0,18.0,35.0,516.0,697.0,10.0
