node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
10.0,10.0,35.0,20.0,311.0,551.0,10.0
11.0,10.0,40.0,30.0,459.0,699.0,10.0
14.0,5.0,35.0,10.0,593.0,833.0,10.0
19.0,44.0,5.0,20.0,275.0,515.0,10.0
20.0,42.0,10.0,40.0,194.0,434.0,10.0
21.0,42.0,15.0,10.0,477.0,717.0,10.0
22.0,40.0,5.0,10.0,155.0,395.0,10.0
23.0,40.0,15.0,40.0,315.0,555.0,10.0
24.0,38.0,5.0,30.0,141.0,381.0,10.0
25.0,38.0,15.0,10.0,621.0,861.0,10.0
26.0,35.0,5.0,20.0,664.0,904.0,10.0
49.0,42.0,5.0,10.0,664.0,904.0,10.0
50.0,42.0,12.0,10.0,380.0,620.0,10.0
52.0,55.0,20.0,19.0,266.0,506.0,10.0
53.0,25.0,30.0,3.0,115.0,355.0,10.0
58.0,30.0,25.0,23.0,337.0,577.0,10.0
59.0,15.0,10.0,20.0,662.0,902.0,10.0
60.0,10.0,20.0,19.0,42.0,282.0,10.0
65.0,45.0,30.0,17.0,131.0,371.0,10.0
66.0,35.0,40.0,16.0,11.0,251.0,10.0
75.0,20.0,20.0,8.0,585.0,825.0,10.0
76.0,5.0,5.0,16.0,172.0,412.0,10.0
77.0,60.0,12.0,31.0,208.0,448.0,10.0
78.0,23.0,3.0,7.0,660.0,900.0,10.0
81.0,47.0,47.0,13.0,702.0,942.0,10.0
83.0,27.0,43.0,9.0,92.0,332.0,10.0
84.0,37.0,31.0,14.0,45.0,285.0,10.0
85.0,57.0,29.0,18.0,335.0,575.0,10.0
86.0,63.0,23.0,2.0,284.0,524.0,10.0
87.0,21.0,24.0,28.0,289.0,529.0,10.0
88.0,12.0,24.0,13.0,299.0,539.0,10.0
90.0,67.0,5.0,25.0,653.0,893.0,10.0
92.0,49.0,42.0,13.0,659.0,899.0,10.0
93.0,53.0,43.0,14.0,14.0,254.0,10.0
96.0,56.0,37.0,6.0,40.0,280.0,10.0
98.0,4.0,18.0,35.0,487.0,727.0,10.0
