node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
2.0,25.0,85.0,20.0,591.0,874.0,10.0
3.0,22.0,75.0,30.0,73.0,350.0,10.0
4.0,22.0,85.0,10.0,473.0,588.0,10.0
5.0,20.0,80.0,40.0,418.0,913.0,10.0
6.0,20.0,85.0,20.0,40.0,390.0,10.0
36.0,67.0,85.0,20.0,396.0,905.0,10.0
37.0,65.0,85.0,40.0,43.0,712.0,10.0
38.0,65.0,82.0,10.0,530.0,703.0,10.0
39.0,62.0,80.0,30.0,131.0,544.0,10.0
40.0,60.0,80.0,10.0,36.0,800.0,10.0
41.0,60.0,85.0,30.0,233.0,544.0,10.0
42.0,58.0,75.0,20.0,207.0,664.0,10.0
43.0,55.0,80.0,10.0,33.0,624.0,10.0
44.0,55.0,85.0,20.0,549.0,718.0,10.0
45.0,55.0,82.0,10.0,62.0,491.0,10.0
46.0,20.0,82.0,10.0,37.0,677.0,10.0
47.0,18.0,80.0,10.0,435.0,662.0,10.0
54.0,20.0,50.0,5.0,284.0,585.0,10.0
55.0,55.0,60.0,16.0,568.0,753.0,10.0
56.0,30.0,60.0,16.0,421.0,896.0,10.0
62.0,45.0,65.0,9.0,230.0,405.0,10.0
67.0,41.0,37.0,16.0,423.0,828.0,10.0
69.0,40.0,60.0,21.0,441.0,902.0,10.0
71.0,35.0,69.0,23.0,211.0,930.0,10.0
72.0,65.0,55.0,14.0,201.0,400.0,10.0
73.0,63.0,65.0,8.0,27.0,382.0,10.0
82.0,49.0,58.0,10.0,369.0,460.0,10.0
89.0,24.0,58.0,19.0,100.0,539.0,10.0
91.0,37.0,47.0,6.0,324.0,513.0,10.0
94.0,61.0,52.0,3.0,298.0,928.0,10.0
95.0,57.0,48.0,23.0,385.0,518.0,10.0
101.0,31.0,67.0,3.0,262.0,930.0,10.0
