node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
28.0,95.0,35.0,20.0,57.0,600.0,10.0
30.0,90.0,35.0,10.0,52.0,536.0,10.0
32.0,88.0,35.0,20.0,50.0,534.0,10.0
34.0,85.0,25.0,10.0,51.0,602.0,10.0
36.0,67.0,85.0,20.0,410.0,905.0,10.0
37.0,65.0,85.0,40.0,43.0,617.0,10.0
38.0,65.0,82.0,10.0,410.0,823.0,10.0
39.0,62.0,80.0,30.0,114.0,561.0,10.0
40.0,60.0,80.0,10.0,36.0,658.0,10.0
41.0,60.0,85.0,30.0,191.0,586.0,10.0
42.0,58.0,75.0,20.0,201.0,670.0,10.0
43.0,55.0,80.0,10.0,33.0,568.0,10.0
44.0,55.0,85.0,20.0,429.0,838.0,10.0
45.0,55.0,82.0,10.0,49.0,504.0,10.0
55.0,55.0,60.0,16.0,448.0,873.0,10.0
62.0,45.0,65.0,9.0,110.0,525.0,10.0
63.0,65.0,35.0,3.0,29.0,548.0,10.0
65.0,45.0,30.0,17.0,20.0,498.0,10.0
66.0,35.0,40.0,16.0,11.0,530.0,10.0
72.0,65.0,55.0,14.0,81.0,520.0,10.0
73.0,63.0,65.0,8.0,27.0,622.0,10.0
81.0,47.0,47.0,13.0,444.0,942.0,10.0
82.0,49.0,58.0,10.0,249.0,580.0,10.0
84.0,37.0,31.0,14.0,19.0,566.0,10.0
91.0,37.0,47.0,6.0,204.0,633.0,10.0
94.0,61.0,52.0,3.0,373.0,928.0,10.0
95.0,57.0,48.0,23.0,265.0,638.0,10.0
97.0,55.0,54.0,26.0,418.0,825.0,10.0
