node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
10.0,10.0,35.0,20.0,371.0,491.0,10.0
11.0,10.0,40.0,30.0,519.0,639.0,10.0
14.0,5.0,35.0,10.0,653.0,773.0,10.0
18.0,0.0,45.0,20.0,703.0,823.0,10.0
39.0,62.0,80.0,30.0,278.0,398.0,10.0
45.0,55.0,82.0,10.0,217.0,337.0,10.0
56.0,30.0,60.0,16.0,599.0,719.0,10.0
62.0,45.0,65.0,9.0,258.0,378.0,10.0
63.0,65.0,35.0,3.0,167.0,287.0,10.0
65.0,45.0,30.0,17.0,191.0,311.0,10.0
69.0,40.0,60.0,21.0,612.0,732.0,10.0
72.0,65.0,55.0,14.0,241.0,361.0,10.0
73.0,63.0,65.0,8.0,60.0,180.0,10.0
75.0,20.0,20.0,8.0,645.0,765.0,10.0
81.0,47.0,47.0,13.0,822.0,942.0,10.0
82.0,49.0,58.0,10.0,355.0,475.0,10.0
87.0,21.0,24.0,28.0,349.0,469.0,10.0
88.0,12.0,24.0,13.0,359.0,479.0,10.0
91.0,37.0,47.0,6.0,359.0,479.0,10.0
92.0,49.0,42.0,13.0,719.0,839.0,10.0
93.0,53.0,43.0,14.0,14.0,134.0,10.0
94.0,61.0,52.0,3.0,808.0,928.0,10.0
96.0,56.0,37.0,6.0,100.0,220.0,10.0
98.0,4.0,18.0,35.0,547.0,667.0,10.0
100.0,26.0,35.0,15.0,308.0,428.0,10.0
