node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
10.0,10.0,35.0,20.0,371.0,491.0,10.0
11.0,10.0,40.0,30.0,519.0,639.0,10.0
13.0,8.0,45.0,20.0,0.0,917.0,10.0
14.0,5.0,35.0,10.0,653.0,773.0,10.0
15.0,5.0,45.0,10.0,0.0,914.0,10.0
18.0,0.0,45.0,20.0,703.0,823.0,10.0
26.0,35.0,5.0,20.0,784.0,904.0,10.0
27.0,95.0,30.0,30.0,0.0,891.0,10.0
28.0,95.0,35.0,20.0,146.0,266.0,10.0
29.0,92.0,30.0,10.0,0.0,894.0,10.0
30.0,90.0,35.0,10.0,0.0,897.0,10.0
31.0,88.0,30.0,10.0,246.0,366.0,10.0
32.0,88.0,35.0,20.0,0.0,899.0,10.0
33.0,87.0,30.0,10.0,0.0,898.0,10.0
34.0,85.0,25.0,10.0,80.0,200.0,10.0
35.0,85.0,35.0,30.0,0.0,902.0,10.0
48.0,2.0,45.0,10.0,0.0,911.0,10.0
51.0,72.0,35.0,30.0,0.0,914.0,10.0
52.0,55.0,20.0,19.0,0.0,916.0,10.0
54.0,20.0,50.0,5.0,375.0,495.0,10.0
59.0,15.0,10.0,20.0,782.0,902.0,10.0
60.0,10.0,20.0,19.0,0.0,907.0,10.0
63.0,65.0,35.0,3.0,167.0,287.0,10.0
68.0,64.0,42.0,9.0,268.0,388.0,10.0
75.0,20.0,20.0,8.0,645.0,765.0,10.0
76.0,5.0,5.0,16.0,0.0,892.0,10.0
78.0,23.0,3.0,7.0,764.0,884.0,10.0
79.0,8.0,56.0,27.0,365.0,485.0,10.0
80.0,6.0,68.0,30.0,352.0,472.0,10.0
81.0,47.0,47.0,13.0,822.0,942.0,10.0
86.0,63.0,23.0,2.0,0.0,914.0,10.0
94.0,61.0,52.0,3.0,808.0,928.0,10.0
95.0,57.0,48.0,23.0,0.0,932.0,10.0
96.0,56.0,37.0,6.0,0.0,929.0,10.0
97.0,55.0,54.0,26.0,0.0,934.0,10.0
98.0,4.0,18.0,35.0,0.0,901.0,10.0
