node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
5.0,20.0,80.0,40.0,644.0,764.0,10.0
10.0,10.0,35.0,20.0,371.0,491.0,10.0
11.0,10.0,40.0,30.0,0.0,918.0,10.0
12.0,8.0,40.0,40.0,195.0,315.0,10.0
13.0,8.0,45.0,20.0,0.0,917.0,10.0
16.0,2.0,40.0,20.0,174.0,294.0,10.0
19.0,44.0,5.0,20.0,0.0,904.0,10.0
20.0,42.0,10.0,40.0,0.0,909.0,10.0
22.0,40.0,5.0,10.0,0.0,905.0,10.0
24.0,38.0,5.0,30.0,201.0,321.0,10.0
25.0,38.0,15.0,10.0,0.0,914.0,10.0
49.0,42.0,5.0,10.0,0.0,904.0,10.0
50.0,42.0,12.0,10.0,0.0,911.0,10.0
53.0,25.0,30.0,3.0,0.0,925.0,10.0
54.0,20.0,50.0,5.0,375.0,495.0,10.0
56.0,30.0,60.0,16.0,599.0,719.0,10.0
57.0,50.0,35.0,19.0,0.0,931.0,10.0
58.0,30.0,25.0,23.0,0.0,923.0,10.0
60.0,10.0,20.0,19.0,0.0,907.0,10.0
65.0,45.0,30.0,17.0,0.0,929.0,10.0
66.0,35.0,40.0,16.0,0.0,938.0,10.0
67.0,41.0,37.0,16.0,0.0,936.0,10.0
76.0,5.0,5.0,16.0,0.0,892.0,10.0
83.0,27.0,43.0,9.0,0.0,935.0,10.0
84.0,37.0,31.0,14.0,0.0,930.0,10.0
87.0,21.0,24.0,28.0,0.0,917.0,10.0
88.0,12.0,24.0,13.0,359.0,479.0,10.0
89.0,24.0,58.0,19.0,0.0,932.0,10.0
91.0,37.0,47.0,6.0,0.0,945.0,10.0
98.0,4.0,18.0,35.0,0.0,901.0,10.0
99.0,26.0,52.0,9.0,0.0,935.0,10.0
100.0,26.0,35.0,15.0,308.0,428.0,10.0
