node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
27.0,95.0,30.0,30.0,469.0,709.0,10.0
28.0,95.0,35.0,20.0,86.0,326.0,10.0
29.0,92.0,30.0,10.0,89.0,329.0,10.0
30.0,90.0,35.0,10.0,134.0,374.0,10.0
31.0,88.0,30.0,10.0,186.0,426.0,10.0
32.0,88.0,35.0,20.0,105.0,345.0,10.0
33.0,87.0,30.0,10.0,561.0,801.0,10.0
34.0,85.0,25.0,10.0,51.0,291.0,10.0
35.0,85.0,35.0,30.0,427.0,667.0,10.0
39.0,62.0,80.0,30.0,218.0,458.0,10.0
41.0,60.0,85.0,30.0,269.0,509.0,10.0
42.0,58.0,75.0,20.0,316.0,556.0,10.0
45.0,55.0,82.0,10.0,157.0,397.0,10.0
51.0,72.0,35.0,30.0,447.0,687.0,10.0
57.0,50.0,35.0,19.0,497.0,737.0,10.0
62.0,45.0,65.0,9.0,198.0,438.0,10.0
63.0,65.0,35.0,3.0,107.0,347.0,10.0
64.0,65.0,20.0,6.0,39.0,279.0,10.0
67.0,41.0,37.0,16.0,506.0,746.0,10.0
68.0,64.0,42.0,9.0,208.0,448.0,10.0
72.0,65.0,55.0,14.0,181.0,421.0,10.0
73.0,63.0,65.0,8.0,27.0,267.0,10.0
82.0,49.0,58.0,10.0,295.0,535.0,10.0
95.0,57.0,48.0,23.0,332.0,572.0,10.0
