node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
2.0,25.0,85.0,20.0,673.0,793.0,10.0
3.0,22.0,75.0,30.0,152.0,272.0,10.0
4.0,22.0,85.0,10.0,471.0,591.0,10.0
5.0,20.0,80.0,40.0,644.0,764.0,10.0
6.0,20.0,85.0,20.0,73.0,193.0,10.0
7.0,18.0,75.0,20.0,388.0,508.0,10.0
8.0,15.0,75.0,20.0,300.0,420.0,10.0
9.0,15.0,80.0,10.0,367.0,487.0,10.0
13.0,8.0,45.0,20.0,223.0,343.0,10.0
17.0,0.0,40.0,20.0,255.0,375.0,10.0
36.0,67.0,85.0,20.0,657.0,777.0,10.0
37.0,65.0,85.0,40.0,43.0,163.0,10.0
38.0,65.0,82.0,10.0,557.0,677.0,10.0
40.0,60.0,80.0,10.0,64.0,184.0,10.0
43.0,55.0,80.0,10.0,33.0,153.0,10.0
44.0,55.0,85.0,20.0,574.0,694.0,10.0
46.0,20.0,82.0,10.0,37.0,157.0,10.0
47.0,18.0,80.0,10.0,489.0,609.0,10.0
54.0,20.0,50.0,5.0,375.0,495.0,10.0
55.0,55.0,60.0,16.0,601.0,721.0,10.0
61.0,15.0,60.0,17.0,694.0,814.0,10.0
70.0,31.0,52.0,27.0,157.0,277.0,10.0
71.0,35.0,69.0,23.0,810.0,930.0,10.0
74.0,2.0,60.0,5.0,286.0,406.0,10.0
79.0,8.0,56.0,27.0,365.0,485.0,10.0
80.0,6.0,68.0,30.0,352.0,472.0,10.0
83.0,27.0,43.0,9.0,152.0,272.0,10.0
89.0,24.0,58.0,19.0,260.0,380.0,10.0
97.0,55.0,54.0,26.0,562.0,682.0,10.0
99.0,26.0,52.0,9.0,172.0,292.0,10.0
101.0,31.0,67.0,3.0,810.0,930.0,10.0
