node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
7.0,18.0,75.0,20.0,388.0,508.0,10.0
9.0,15.0,80.0,10.0,367.0,487.0,10.0
14.0,5.0,35.0,10.0,653.0,773.0,10.0
18.0,0.0,45.0,20.0,703.0,823.0,10.0
24.0,38.0,5.0,30.0,201.0,321.0,10.0
25.0,38.0,15.0,10.0,681.0,801.0,10.0
26.0,35.0,5.0,20.0,784.0,904.0,10.0
37.0,65.0,85.0,40.0,43.0,163.0,10.0
38.0,65.0,82.0,10.0,0.0,909.0,10.0
39.0,62.0,80.0,30.0,278.0,398.0,10.0
40.0,60.0,80.0,10.0,64.0,184.0,10.0
41.0,60.0,85.0,30.0,329.0,449.0,10.0
42.0,58.0,75.0,20.0,376.0,496.0,10.0
43.0,55.0,80.0,10.0,33.0,153.0,10.0
44.0,55.0,85.0,20.0,574.0,694.0,10.0
47.0,18.0,80.0,10.0,489.0,609.0,10.0
56.0,30.0,60.0,16.0,599.0,719.0,10.0
59.0,15.0,10.0,20.0,782.0,902.0,10.0
63.0,65.0,35.0,3.0,167.0,287.0,10.0
65.0,45.0,30.0,17.0,191.0,311.0,10.0
66.0,35.0,40.0,16.0,11.0,131.0,10.0
68.0,64.0,42.0,9.0,268.0,388.0,10.0
69.0,40.0,60.0,21.0,612.0,732.0,10.0
72.0,65.0,55.0,14.0,241.0,361.0,10.0
73.0,63.0,65.0,8.0,0.0,922.0,10.0
75.0,20.0,20.0,8.0,645.0,765.0,10.0
78.0,23.0,3.0,7.0,764.0,884.0,10.0
82.0,49.0,58.0,10.0,355.0,475.0,10.0
