node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
2.0,25.0,85.0,20.0,388.0,911.0,10.0
3.0,22.0,75.0,30.0,30.0,546.0,10.0
4.0,22.0,85.0,10.0,353.0,708.0,10.0
5.0,20.0,80.0,40.0,425.0,913.0,10.0
6.0,20.0,85.0,20.0,40.0,630.0,10.0
7.0,18.0,75.0,20.0,228.0,667.0,10.0
8.0,15.0,75.0,20.0,161.0,558.0,10.0
9.0,15.0,80.0,10.0,229.0,624.0,10.0
10.0,10.0,35.0,20.0,213.0,648.0,10.0
11.0,10.0,40.0,30.0,404.0,753.0,10.0
12.0,8.0,40.0,40.0,33.0,511.0,10.0
13.0,8.0,45.0,20.0,46.0,519.0,10.0
14.0,5.0,35.0,10.0,395.0,911.0,10.0
15.0,5.0,45.0,10.0,35.0,697.0,10.0
16.0,2.0,40.0,20.0,39.0,528.0,10.0
17.0,0.0,40.0,20.0,94.0,535.0,10.0
18.0,0.0,45.0,20.0,394.0,909.0,10.0
46.0,20.0,82.0,10.0,37.0,597.0,10.0
47.0,18.0,80.0,10.0,315.0,782.0,10.0
48.0,2.0,45.0,10.0,38.0,606.0,10.0
53.0,25.0,30.0,3.0,25.0,516.0,10.0
54.0,20.0,50.0,5.0,239.0,630.0,10.0
56.0,30.0,60.0,16.0,420.0,897.0,10.0
60.0,10.0,20.0,19.0,42.0,706.0,10.0
61.0,15.0,60.0,17.0,401.0,923.0,10.0
69.0,40.0,60.0,21.0,436.0,907.0,10.0
71.0,35.0,69.0,23.0,330.0,930.0,10.0
74.0,2.0,60.0,5.0,135.0,556.0,10.0
79.0,8.0,56.0,27.0,190.0,659.0,10.0
80.0,6.0,68.0,30.0,215.0,608.0,10.0
87.0,21.0,24.0,28.0,212.0,605.0,10.0
88.0,12.0,24.0,13.0,272.0,565.0,10.0
89.0,24.0,58.0,19.0,90.0,549.0,10.0
100.0,26.0,35.0,15.0,149.0,586.0,10.0
101.0,31.0,67.0,3.0,356.0,930.0,10.0
