node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
2.0,25.0,85.0,20.0,431.0,911.0,10.0
3.0,22.0,75.0,30.0,30.0,510.0,10.0
4.0,22.0,85.0,10.0,291.0,771.0,10.0
6.0,20.0,85.0,20.0,40.0,520.0,10.0
7.0,18.0,75.0,20.0,393.0,502.0,10.0
8.0,15.0,75.0,20.0,120.0,600.0,10.0
9.0,15.0,80.0,10.0,397.0,457.0,10.0
13.0,8.0,45.0,20.0,43.0,523.0,10.0
15.0,5.0,45.0,10.0,35.0,366.0,10.0
25.0,38.0,15.0,10.0,609.0,872.0,10.0
26.0,35.0,5.0,20.0,821.0,881.0,10.0
27.0,95.0,30.0,30.0,349.0,829.0,10.0
33.0,87.0,30.0,10.0,562.0,799.0,10.0
35.0,85.0,35.0,30.0,307.0,787.0,10.0
47.0,18.0,80.0,10.0,432.0,665.0,10.0
48.0,2.0,45.0,10.0,38.0,322.0,10.0
49.0,42.0,5.0,10.0,424.0,904.0,10.0
51.0,72.0,35.0,30.0,327.0,807.0,10.0
53.0,25.0,30.0,3.0,25.0,505.0,10.0
55.0,55.0,60.0,16.0,554.0,767.0,10.0
59.0,15.0,10.0,20.0,842.0,902.0,10.0
65.0,45.0,30.0,17.0,191.0,310.0,10.0
66.0,35.0,40.0,16.0,11.0,140.0,10.0
74.0,2.0,60.0,5.0,240.0,451.0,10.0
78.0,23.0,3.0,7.0,794.0,854.0,10.0
79.0,8.0,56.0,27.0,366.0,483.0,10.0
80.0,6.0,68.0,30.0,382.0,442.0,10.0
83.0,27.0,43.0,9.0,14.0,494.0,10.0
84.0,37.0,31.0,14.0,19.0,499.0,10.0
89.0,24.0,58.0,19.0,262.0,377.0,10.0
90.0,67.0,5.0,25.0,611.0,897.0,10.0
97.0,55.0,54.0,26.0,382.0,862.0,10.0
99.0,26.0,52.0,9.0,14.0,494.0,10.0
101.0,31.0,67.0,3.0,870.0,930.0,10.0
